Training FashionMNIST score v2: 50 epochs, batch=256, device=auto
Checkpoints -> C:\Users\artun\Desktop\ITS-project\checkpoints\score_fmnist_v2
JSONL log    -> C:\Users\artun\Desktop\ITS-project\logs\fmnist_score_v2.jsonl
[04/19/26 17:31:20] INFO     Resumed from                                      
                             checkpoints\score_fmnist_v2\score_epoch_0015.pt   
                             (epoch=15, step=3345)                             
[04/19/26 17:31:47] WARNING  High grad norm: 11726.91 at epoch=16 step=3345    
[04/19/26 17:31:48] WARNING  High grad norm: 21514.56 at epoch=16 step=3346    
[04/19/26 17:31:49] WARNING  High grad norm: 8971.98 at epoch=16 step=3347     
                    WARNING  High grad norm: 16253.27 at epoch=16 step=3348    
                    WARNING  High grad norm: 21292.35 at epoch=16 step=3349    
[04/19/26 17:31:51] WARNING  High grad norm: 7875.29 at epoch=16 step=3350     
                    WARNING  High grad norm: 17523.19 at epoch=16 step=3351    
                    WARNING  High grad norm: 17380.91 at epoch=16 step=3352    
[04/19/26 17:31:53] WARNING  High grad norm: 9721.99 at epoch=16 step=3353     
                    WARNING  High grad norm: 18395.30 at epoch=16 step=3354    
                    WARNING  High grad norm: 24081.44 at epoch=16 step=3355    
[04/19/26 17:31:55] WARNING  High grad norm: 8226.62 at epoch=16 step=3356     
                    WARNING  High grad norm: 20412.09 at epoch=16 step=3357    
                    WARNING  High grad norm: 26188.48 at epoch=16 step=3358    
[04/19/26 17:31:56] WARNING  High grad norm: 12696.45 at epoch=16 step=3359    
                    WARNING  High grad norm: 16782.15 at epoch=16 step=3360    
[04/19/26 17:31:57] WARNING  High grad norm: 25898.68 at epoch=16 step=3361    
[04/19/26 17:31:58] WARNING  High grad norm: 10550.65 at epoch=16 step=3362    
                    WARNING  High grad norm: 16744.25 at epoch=16 step=3363    
                    WARNING  High grad norm: 24672.00 at epoch=16 step=3364    
[04/19/26 17:32:00] WARNING  High grad norm: 10178.22 at epoch=16 step=3365    
                    WARNING  High grad norm: 16999.07 at epoch=16 step=3366    
                    WARNING  High grad norm: 27627.36 at epoch=16 step=3367    
[04/19/26 17:32:01] WARNING  High grad norm: 8509.52 at epoch=16 step=3368     
[04/19/26 17:32:02] WARNING  High grad norm: 12321.99 at epoch=16 step=3369    
                    WARNING  High grad norm: 12386.58 at epoch=16 step=3370    
[04/19/26 17:32:03] WARNING  High grad norm: 10441.75 at epoch=16 step=3371    
                    WARNING  High grad norm: 21073.07 at epoch=16 step=3372    
                    WARNING  High grad norm: 28529.13 at epoch=16 step=3373    
[04/19/26 17:32:05] WARNING  High grad norm: 18638.18 at epoch=16 step=3374    
                    WARNING  High grad norm: 13572.35 at epoch=16 step=3375    
                    WARNING  High grad norm: 23580.36 at epoch=16 step=3376    
                    WARNING  High grad norm: 5957.94 at epoch=16 step=3377     
[04/19/26 17:32:07] WARNING  High grad norm: 15920.51 at epoch=16 step=3378    
                    WARNING  High grad norm: 27950.15 at epoch=16 step=3379    
                    WARNING  High grad norm: 16161.91 at epoch=16 step=3380    
[04/19/26 17:32:08] WARNING  High grad norm: 10802.87 at epoch=16 step=3381    
[04/19/26 17:32:09] WARNING  High grad norm: 17255.78 at epoch=16 step=3382    
                    WARNING  High grad norm: 8528.75 at epoch=16 step=3383     
[04/19/26 17:32:10] WARNING  High grad norm: 24359.17 at epoch=16 step=3384    
                    WARNING  High grad norm: 23307.18 at epoch=16 step=3385    
[04/19/26 17:32:11] WARNING  High grad norm: 16418.18 at epoch=16 step=3386    
[04/19/26 17:32:12] WARNING  High grad norm: 15345.20 at epoch=16 step=3387    
                    WARNING  High grad norm: 19665.85 at epoch=16 step=3388    
                    WARNING  High grad norm: 13076.14 at epoch=16 step=3389    
                    WARNING  High grad norm: 11879.35 at epoch=16 step=3390    
[04/19/26 17:32:13] WARNING  High grad norm: 19138.97 at epoch=16 step=3391    
                    WARNING  High grad norm: 5636.91 at epoch=16 step=3392     
                    WARNING  High grad norm: 13543.26 at epoch=16 step=3393    
                    WARNING  High grad norm: 19673.38 at epoch=16 step=3394    
[04/19/26 17:32:14] WARNING  High grad norm: 10292.69 at epoch=16 step=3395    
                    WARNING  High grad norm: 19241.14 at epoch=16 step=3396    
                    WARNING  High grad norm: 17341.20 at epoch=16 step=3397    
[04/19/26 17:32:15] WARNING  High grad norm: 11610.00 at epoch=16 step=3398    
                    WARNING  High grad norm: 14097.33 at epoch=16 step=3399    
                    INFO     epoch=16 step=3400 loss=571.8746                  
                             grad_norm=14097.3330 lr=1.59e-04                  
                    WARNING  High grad norm: 13444.63 at epoch=16 step=3400    
                    WARNING  High grad norm: 9140.29 at epoch=16 step=3401     
[04/19/26 17:32:16] WARNING  High grad norm: 15089.89 at epoch=16 step=3402    
                    WARNING  High grad norm: 20649.16 at epoch=16 step=3403    
                    WARNING  High grad norm: 9554.42 at epoch=16 step=3404     
                    WARNING  High grad norm: 16891.60 at epoch=16 step=3405    
[04/19/26 17:32:17] WARNING  High grad norm: 22683.29 at epoch=16 step=3406    
                    WARNING  High grad norm: 9580.09 at epoch=16 step=3407     
                    WARNING  High grad norm: 20800.97 at epoch=16 step=3408    
                    WARNING  High grad norm: 20505.57 at epoch=16 step=3409    
[04/19/26 17:32:18] WARNING  High grad norm: 10712.50 at epoch=16 step=3410    
                    WARNING  High grad norm: 10184.34 at epoch=16 step=3411    
                    WARNING  High grad norm: 19834.97 at epoch=16 step=3412    
                    WARNING  High grad norm: 10386.00 at epoch=16 step=3413    
[04/19/26 17:32:19] WARNING  High grad norm: 12037.77 at epoch=16 step=3414    
                    WARNING  High grad norm: 16927.73 at epoch=16 step=3415    
                    WARNING  High grad norm: 8598.93 at epoch=16 step=3416     
                    WARNING  High grad norm: 17711.55 at epoch=16 step=3417    
