Training FashionMNIST score v2: 50 epochs, batch=256, device=cuda
Checkpoints -> C:\Users\artun\Desktop\ITS-project\checkpoints\score_fmnist_v2
JSONL log    -> C:\Users\artun\Desktop\ITS-project\logs\fmnist_score_v2.jsonl
[04/19/26 17:10:20] WARNING  High grad norm: 1867642.62 at epoch=1 step=0      
[04/19/26 17:10:21] WARNING  High grad norm: 748130.31 at epoch=1 step=1       
                    WARNING  High grad norm: 432714.34 at epoch=1 step=2       
                    WARNING  High grad norm: 712477.31 at epoch=1 step=3       
                    WARNING  High grad norm: 522672.50 at epoch=1 step=4       
                    WARNING  High grad norm: 76217.53 at epoch=1 step=5        
[04/19/26 17:10:22] WARNING  High grad norm: 638794.69 at epoch=1 step=6       
                    WARNING  High grad norm: 956893.06 at epoch=1 step=7       
                    WARNING  High grad norm: 877492.50 at epoch=1 step=8       
                    WARNING  High grad norm: 815847.00 at epoch=1 step=9       
                    WARNING  High grad norm: 441372.50 at epoch=1 step=10      
[04/19/26 17:10:23] WARNING  High grad norm: 5717.65 at epoch=1 step=11        
                    WARNING  High grad norm: 321056.66 at epoch=1 step=12      
                    WARNING  High grad norm: 409865.12 at epoch=1 step=13      
                    WARNING  High grad norm: 541475.69 at epoch=1 step=14      
                    WARNING  High grad norm: 507805.03 at epoch=1 step=15      
[04/19/26 17:10:24] WARNING  High grad norm: 326974.72 at epoch=1 step=16      
                    WARNING  High grad norm: 15130.34 at epoch=1 step=17       
                    WARNING  High grad norm: 227985.31 at epoch=1 step=18      
                    WARNING  High grad norm: 269617.69 at epoch=1 step=19      
[04/19/26 17:10:25] WARNING  High grad norm: 256566.17 at epoch=1 step=20      
                    WARNING  High grad norm: 122491.39 at epoch=1 step=21      
                    WARNING  High grad norm: 63880.49 at epoch=1 step=22       
                    WARNING  High grad norm: 130873.59 at epoch=1 step=23      
                    WARNING  High grad norm: 202284.25 at epoch=1 step=24      
[04/19/26 17:10:26] WARNING  High grad norm: 44565.68 at epoch=1 step=25       
                    WARNING  High grad norm: 140504.64 at epoch=1 step=26      
