Training FashionMNIST score v2: 100 epochs, batch=256, device=auto
Checkpoints -> C:\Users\artun\Desktop\ITS-project\checkpoints\score_fmnist_v2
JSONL log    -> C:\Users\artun\Desktop\ITS-project\logs\fmnist_score_v2.jsonl
[04/21/26 23:07:34] INFO     Resumed from                                      
                             checkpoints\score_fmnist_v2\score_epoch_0050.pt   
                             (epoch=50, step=11150)                            
[04/21/26 23:07:49] WARNING  High grad norm: 842.80 at epoch=51 step=11150     
                    WARNING  High grad norm: 1044.59 at epoch=51 step=11151    
                    WARNING  High grad norm: 834.29 at epoch=51 step=11152     
                    WARNING  High grad norm: 1051.58 at epoch=51 step=11153    
                    WARNING  High grad norm: 1098.10 at epoch=51 step=11154    
[04/21/26 23:07:50] WARNING  High grad norm: 807.50 at epoch=51 step=11155     
                    WARNING  High grad norm: 1326.37 at epoch=51 step=11156    
                    WARNING  High grad norm: 1106.66 at epoch=51 step=11157    
                    WARNING  High grad norm: 827.61 at epoch=51 step=11158     
[04/21/26 23:07:51] WARNING  High grad norm: 935.06 at epoch=51 step=11159     
                    WARNING  High grad norm: 1149.65 at epoch=51 step=11160    
                    WARNING  High grad norm: 1295.25 at epoch=51 step=11161    
                    WARNING  High grad norm: 568.18 at epoch=51 step=11162     
                    WARNING  High grad norm: 739.26 at epoch=51 step=11163     
[04/21/26 23:07:52] WARNING  High grad norm: 614.28 at epoch=51 step=11164     
                    WARNING  High grad norm: 1641.32 at epoch=51 step=11165    
                    WARNING  High grad norm: 1228.48 at epoch=51 step=11166    
                    WARNING  High grad norm: 848.45 at epoch=51 step=11167     
                    WARNING  High grad norm: 822.96 at epoch=51 step=11168     
[04/21/26 23:07:53] WARNING  High grad norm: 764.33 at epoch=51 step=11169     
                    WARNING  High grad norm: 1902.44 at epoch=51 step=11170    
                    WARNING  High grad norm: 1265.04 at epoch=51 step=11171    
                    WARNING  High grad norm: 1764.22 at epoch=51 step=11172    
[04/21/26 23:07:54] WARNING  High grad norm: 965.77 at epoch=51 step=11173     
                    WARNING  High grad norm: 1605.08 at epoch=51 step=11174    
                    WARNING  High grad norm: 664.93 at epoch=51 step=11175     
                    WARNING  High grad norm: 1878.96 at epoch=51 step=11176    
                    WARNING  High grad norm: 1894.73 at epoch=51 step=11177    
[04/21/26 23:07:55] WARNING  High grad norm: 617.33 at epoch=51 step=11178     
                    WARNING  High grad norm: 1790.38 at epoch=51 step=11179    
                    WARNING  High grad norm: 739.76 at epoch=51 step=11180     
                    WARNING  High grad norm: 713.21 at epoch=51 step=11181     
                    WARNING  High grad norm: 660.39 at epoch=51 step=11182     
